x,y,sector,localidad,s11_n
4884584.86522916,2082935.1743003,No oficial,Usaquen,90
4886457.98551125,2083328.88508508,No oficial,Usaquen,90
4886489.02706632,2083154.89576514,No oficial,Usaquen,24
4884218.59373593,2081465.80596346,No oficial,Usaquen,162
4885528.9106536,2084401.90013609,No oficial,Usaquen,102
4884591.62723076,2083310.0989139,No oficial,Usaquen,104
4885724.6826463,2076203.93285552,No oficial,Usaquen,
4884367.11591479,2083581.49983621,No oficial,Usaquen,106
4884754.25314161,2081833.44918671,No oficial,Usaquen,
4884212.13822882,2080476.85053583,No oficial,Usaquen,
4883615.64263067,2078484.940935,No oficial,Usaquen,
4884926.83231334,2084670.58925909,No oficial,Usaquen,58
4886179.82080629,2081027.7897884,No oficial,Usaquen,
4885864.9154733,2082352.79549625,No oficial,Usaquen,78
4882336.25437812,2072389.49211631,Oficial,Chapinero,108
4882844.80657609,2071728.67440697,Oficial,Chapinero,
4882331.19775163,2069769.80811529,Oficial,Chapinero,
4882990.27273474,2072847.84705679,No oficial,Chapinero,124
4883325.16857218,2071644.39082155,No oficial,Chapinero,80
4883288.16638511,2071888.90091354,No oficial,Chapinero,80
4883111.60523295,2073616.26121972,No oficial,Chapinero,56
4883651.45567102,2073514.52666707,No oficial,Chapinero,62
4882611.0408893,2071861.81626883,No oficial,Chapinero,102
4882557.00226084,2072319.89524496,No oficial,Chapinero,
4882557.00226084,2072319.89524496,No oficial,Chapinero,
4883950.59095591,2073896.65183003,No oficial,Chapinero,
4883563.99628101,2071579.7655073,No oficial,Chapinero,
4882313.93953174,2071106.55850552,No oficial,Chapinero,
4882376.448666,2071625.53260229,No oficial,Chapinero,
4882325.64914385,2072748.45429348,No oficial,Chapinero,40
4883799.96882422,2074011.09879569,No oficial,Chapinero,
4882458.12697165,2072497.87946449,No oficial,Chapinero,68
4883431.88136246,2071691.76471099,No oficial,Chapinero,44
4882218.8538417,2069920.10469473,No oficial,Chapinero,146
4882404.80025694,2072869.73754982,No oficial,Chapinero,318
4882959.59656538,2071788.68409319,No oficial,Chapinero,14
4881598.95662165,2068002.08823692,Oficial,Santa Fe,138
4881447.27829559,2066927.40121676,Oficial,Santa Fe,
4881652.43401471,2068637.82940432,Oficial,Santa Fe,102
4881227.66118958,2064265.62699571,Oficial,Santa Fe,104
4881021.89178267,2064201.10809858,Oficial,Santa Fe,
4881213.95802754,2063894.42649163,Oficial,Santa Fe,
4880978.99044782,2065030.10177315,Oficial,Santa Fe,96
4880980.67394672,2064696.31078233,Oficial,Santa Fe,
4881317.04297761,2065121.75609951,Oficial,Santa Fe,
4879990.46729849,2065523.64239161,Oficial,Santa Fe,76
4879734.06806085,2065665.13711518,Oficial,Santa Fe,
4881962.1523402,2068337.38588429,Oficial,Santa Fe,44
4880335.79802548,2064515.04403411,Oficial,Santa Fe,196
4881479.73064494,2068351.58820682,No oficial,Santa Fe,116
4881852.10556398,2067511.31674948,No oficial,Santa Fe,114
4881229.06652391,2066918.96031581,No oficial,Santa Fe,2
4879587.17500722,2065593.02585757,No oficial,Santa Fe,132
