"divipola","municipio","departamento","area_elipsoide_km2","area_3116_km2","area_9377_km2","area_3857_km2","lon_centroide","lat_centroide"
"08560","Ponedera","Atl<U+00E1>ntico",206.5023866429,206.5341251042,206.3695422097,215.0710408081,-74.7984701319,10.5946448071
"08573","Puerto Colombia","Atl<U+00E1>ntico",70.5527030345,70.5670784682,70.5156456502,73.6781693951,-74.9074079568,11.0044223359
"08606","Repel<U+00F3>n","Atl<U+00E1>ntico",358.4243570637,358.5405551216,358.329385609,373.087096,-75.1218803458,10.5075677628
"08634","Sabanagrande","Atl<U+00E1>ntico",43.1050296227,43.1111308019,43.0759529094,44.9532288363,-74.7687967522,10.7989402811
"08638","Sabanalarga","Atl<U+00E1>ntico",395.7832971188,395.8741083407,395.598689876,412.278686859,-74.9551059817,10.6225058435
"08675","Santa Luc<U+00ED>a","Atl<U+00E1>ntico",57.3528222515,57.3662492884,57.3267797807,59.6408272508,-74.9654098182,10.3536413852
"08685","Santo Tom<U+00E1>s","Atl<U+00E1>ntico",64.9930254733,65.0029399747,64.9509949322,67.7553193197,-74.7947982877,10.7440480703
"08758","Soledad","Atl<U+00E1>ntico",59.3497182919,59.3583525177,59.3102471154,61.9385893501,-74.7784255693,10.9069070633
"08770","Suan","Atl<U+00E1>ntico",42.5494596735,42.5581562815,42.5273018163,44.2350163495,-74.9071342311,10.3108490508
"08832","Tubar<U+00E1>","Atl<U+00E1>ntico",182.9467587153,182.991295254,182.8669958327,190.9275034089,-74.9842335224,10.9072152262
"08849","Usiacur<U+00ED>","Atl<U+00E1>ntico",101.3535493,101.3781538278,101.3092869604,105.6587952215,-74.9826739878,10.7405219085
"13006","Ach<U+00ED>","Bol<U+00ED>var",951.7196315757,951.766497112,950.8210508242,979.8750013595,-74.4780531237,8.6229184261
"13030","Altos del Rosario","Bol<U+00ED>var",303.7446099174,303.7461654181,303.3888867304,312.9514208805,-74.1951614207,8.7574682763
"13042","Arenal","Bol<U+00ED>var",461.9296002677,461.9322637437,461.3630529789,474.9066436302,-74.1070144718,8.3410221192
"13052","Arjona","Bol<U+00ED>var",589.2855012493,589.5791147274,589.3270104041,612.0701201113,-75.3712399021,10.164210915
"13062","Arroyohondo","Bol<U+00ED>var",163.7644698943,163.8083831421,163.7022343518,170.1783513369,-75.0269086776,10.2417163143
"13074","Barranco de Loba","Bol<U+00ED>var",430.7279916765,430.7295263651,430.2138259856,443.9706967668,-74.1627050703,8.836175419
"15183","Chita","Boyac<U+00E1>",676.8252564864,677.3770110429,675.8077898307,689.0452836584,-72.4390232003,6.0914509059
"15185","Chitaraque","Boyac<U+00E1>",158.5142698369,158.53472187,158.2694837955,161.312855456,-73.4258232954,5.984391844
"15187","Chivat<U+00E1>","Boyac<U+00E1>",49.5223664265,49.5323483413,49.4442120178,50.3229108795,-73.2633169916,5.563880502
"15189","Ci<U+00E9>nega","Boyac<U+00E1>",53.982029067,53.9924215765,53.8970050793,54.8237148664,-73.282057292,5.3930595534
"15204","C<U+00F3>mbita","Boyac<U+00E1>",145.2512249929,145.2759501555,145.0237220702,147.6613319584,-73.3292878838,5.6876433535
"15212","Coper","Boyac<U+00E1>",149.8695627248,149.8697277019,149.6779676397,152.2311886045,-74.0278287174,5.4429823988
"15215","Corrales","Boyac<U+00E1>",60.8233935482,60.8514311327,60.7265635373,61.8619815416,-72.8454496912,5.8245448634
"15218","Covarach<U+00ED>a","Boyac<U+00E1>",102.3758541229,102.4313218564,102.2142351479,104.3938767103,-72.7402016651,6.5195203149
"15223","Cubar<U+00E1>","Boyac<U+00E1>",1176.3310855764,1177.6146105894,1174.6921264848,1201.3064732362,-72.1815738272,6.8869545578
"15224","Cucaita","Boyac<U+00E1>",42.1229506962,42.1280592485,42.0581267201,42.7986138508,-73.4459860699,5.5271038389
