proceso,t
hawkes,1.42554138163719
hawkes,1.56116337115231
hawkes,3.55922530557394
hawkes,3.74641944404671
hawkes,9.40870162583345
hawkes,9.81255550941354
hawkes,11.872191388743
hawkes,13.3087407251491
hawkes,14.452008571712
hawkes,16.8190932452286
hawkes,16.9622351337013
hawkes,19.9935305662182
hawkes,20.123052406237
hawkes,21.5150090991584
hawkes,23.169949461272
hawkes,23.4087361017764
hawkes,23.6517243019904
hawkes,27.0179390930504
hawkes,27.5442713148093
hawkes,29.1061724556848
hawkes,29.4135415100596
hawkes,29.7891600416973
hawkes,31.3581860066894
hawkes,31.709296508542
hawkes,32.5228150805985
hawkes,34.6148807763822
hawkes,34.8165358688264
hawkes,34.9413191082271
hawkes,35.321176503452
hawkes,36.3713715181926
hawkes,36.5099303693093
hawkes,36.7220770793798
hawkes,38.3122498966484
hawkes,38.3731841038925
hawkes,38.5082358662228
hawkes,40.7291694309698
hawkes,45.8483202414233
hawkes,51.1513201455023
hawkes,51.3206889495797
hawkes,51.4442416167242
hawkes,51.6294289315633
hawkes,51.7012556181658
hawkes,52.4169711108961
hawkes,52.7491871841935
hawkes,52.9248199278448
hawkes,53.0527696133905
hawkes,53.1621269828977
hawkes,53.2065605163445
hawkes,53.2410858325613
hawkes,53.6403554399179
hawkes,53.9806065163682
hawkes,54.0317375179474
hawkes,54.2625657600713
hawkes,54.2913505538497
hawkes,54.7110017053359
hawkes,54.7387190364725
hawkes,54.7715642920516
hawkes,54.9288620815941
hawkes,55.0160911469914
hawkes,55.0961106762432
hawkes,55.1001214798467
hawkes,55.4311654788017
hawkes,55.6495929576495
hawkes,55.6864136451087
hawkes,56.147812079506
hawkes,56.2274925645989
hawkes,57.1736585911145
hawkes,57.2099711216362
hawkes,57.3188481383659
hawkes,57.8069578880561
hawkes,58.6867313220086
hawkes,58.7783929061972
hawkes,59.0298736568509
hawkes,59.3941980716947
hawkes,61.5838455214957
hawkes,62.4358403146462
hawkes,63.4686698764136
hawkes,63.4758177681022
hawkes,63.5158821863641
hawkes,63.9540981440827
hawkes,64.0298251094541
hawkes,64.3595130030219
hawkes,64.4119496633157
hawkes,64.4556811654897
hawkes,64.5640389119515
hawkes,64.904654404335
hawkes,65.5675714062932
hawkes,66.1373376066433
hawkes,66.206935302101
hawkes,66.2586309170706
hawkes,66.779612057964
hawkes,67.3672297121092
hawkes,67.645762726055
hawkes,67.7807200638683
hawkes,67.8597519073454
hawkes,67.8856338416546
hawkes,69.7970286369833
hawkes,71.0903585448081
hawkes,71.1425491037268
hawkes,71.2166933911288
hawkes,71.2322040267331
hawkes,71.3484323908955
hawkes,71.4828679297652
hawkes,71.9845844277568
hawkes,72.2631235286931
hawkes,72.4455361901735
hawkes,73.4189579048499
hawkes,74.1384157188743
hawkes,74.149878279865
hawkes,74.2868726621033
hawkes,74.9347967054839
hawkes,74.9463041545153
hawkes,88.0027831209392
hawkes,88.0282531046144
hawkes,88.8459870766109
hawkes,88.8729246852944
hawkes,89.4104373565278
hawkes,89.7612835988512
hawkes,89.9226192650882
hawkes,89.9262657721333
hawkes,89.9370867082545
hawkes,90.1465858456378
hawkes,91.4376416325509
hawkes,91.4528518881409
hawkes,91.5325997171293
hawkes,91.6707129168273
hawkes,91.7080375183757
hawkes,93.0004309957179
hawkes,93.256021309101
hawkes,93.6288467775735
hawkes,93.6290028139142
hawkes,93.7364423306268
hawkes,95.0171214324613
hawkes,98.2667044864021
hawkes,98.4399107225547
hawkes,98.5133727866009
hawkes,98.8667541696909
hawkes,99.3506872380034
hawkes,99.4638564957244
hawkes,99.661102344242
hawkes,100.117265336628
hawkes,100.210970549383
