divipola,municipio,departamento,desercion,wy,vecinos
15693,Santa Rosa de Viterbo,Boyacá,2.39,2.4033333333,6
15696,Santa Sofía,Boyacá,3.35,2.5533333333,6
15720,Sativanorte,Boyacá,3.97,2.22,7
15723,Sativasur,Boyacá,0,2.515,4
15740,Siachoque,Boyacá,1.76,2.01,6
15753,Soatá,Boyacá,0.89,2.735,4
15755,Socotá,Boyacá,1.47,2.538,10
15757,Socha,Boyacá,2.76,1.1425,4
15759,Sogamoso,Boyacá,1.99,2.4688888889,9
15761,Somondoco,Boyacá,2.54,1.788,5
15762,Sora,Boyacá,0.74,2.1616666667,6
15763,Sotaquirá,Boyacá,1.71,2.7175,4
15764,Soracá,Boyacá,2.53,2.3685714286,7
15774,Susacón,Boyacá,4.64,2.1116666667,6
15776,Sutamarchán,Boyacá,2.09,3.0466666667,6
15778,Sutatenza,Boyacá,0.84,2.03,4
15790,Tasco,Boyacá,1.24,2.1683333333,6
15798,Tenza,Boyacá,2.05,1.416,5
15804,Tibaná,Boyacá,1.51,1.822,5
15808,Tinjacá,Boyacá,4.45,1.992,5
15810,Tipacoque,Boyacá,1.1,1.742,5
15814,Toca,Boyacá,2.2,1.805,4
15816,Togüí,Boyacá,6.25,3.5575,4
15820,Tópaga,Boyacá,2.01,2.05,6
15822,Tota,Boyacá,1.86,2.11,5
15832,Tununguá,Boyacá,0.73,1.84,4
15835,Turmequé,Boyacá,0.93,1.6275,4
15837,Tuta,Boyacá,2.51,2.31375,8
15839,Tutazá,Boyacá,1.91,2.5716666667,6
15842,Umbita,Boyacá,1.17,1.3657142857,7
15861,Ventaquemada,Boyacá,2.83,1.8025,8
15879,Viracachá,Boyacá,1.86,2.11,4
15897,Zetaquira,Boyacá,1,2.2433333333,9
17001,Manizales,Caldas,3.06,3.6885714286,7
17013,Aguadas,Caldas,3.24,2.9533333333,9
17042,Anserma,Caldas,3.81,4.09125,8
17050,Aranzazu,Caldas,3.3,3.514,5
17088,Belalcázar,Caldas,5.08,5.1985714286,7
17174,Chinchiná,Caldas,5.53,4.6485714286,7
17272,Filadelfia,Caldas,4.64,3.33,6
17380,La Dorada,Caldas,4.41,3.2485714286,7
17388,La Merced,Caldas,3.91,3.38,6
17433,Manzanares,Caldas,2.27,3.174,5
17442,Marmato,Caldas,3.05,3.2975,4
17444,Marquetalia,Caldas,3.37,3.1966666667,6
17446,Marulanda,Caldas,2.97,2.9714285714,7
17486,Neira,Caldas,3.8,3.4014285714,7
17495,Norcasia,Caldas,2.37,3.616,5
17513,Pácora,Caldas,3.89,2.938,5
17524,Palestina,Caldas,3.87,4.7025,4
17541,Pensilvania,Caldas,3.55,3.12625,8
17616,Risaralda,Caldas,6.41,3.9183333333,6
17653,Salamina,Caldas,2.25,3.49125,8
17662,Samaná,Caldas,2.45,3.7383333333,6
17665,San José,Caldas,1.95,4.92,3
17777,Supía,Caldas,3.15,3.176,5
17867,Victoria,Caldas,4.82,3.115,6
17873,Villamaría,Caldas,3.27,3.9422222222,9
17877,Viterbo,Caldas,3.27,4.9557142857,7
18001,Florencia,Caquetá,5.93,5.9725,8
18029,Albania,Caquetá,6.66,6.465,4
18094,Belén de los Andaquies,Caquetá,6.12,6.34,7
18247,El Doncello,Caquetá,5.42,5.948,5
18256,El Paujil,Caquetá,7.8,5.5014285714,7
13140,Calamar,Bolívar,2.11,2.95,10
13160,Cantagallo,Bolívar,4.09,4.195,4
13188,Cicuco,Bolívar,5.17,3.3466666667,3
13212,Córdoba,Bolívar,1.47,3.0375,8
13222,Clemencia,Bolívar,3.13,2.2325,4
13244,El Carmen de Bolívar,Bolívar,3.55,2.74,8
13248,El Guamo,Bolívar,3.19,2.488,5
13268,El Peñón,Bolívar,3.96,4.514,5
13300,Hatillo de Loba,Bolívar,4.12,4.4914285714,7
13430,Magangué,Bolívar,3.94,3.3509090909,11
13433,Mahates,Bolívar,2.82,3.0614285714,7
13440,Margarita,Bolívar,3.97,3.992,5
13442,María la Baja,Bolívar,3.39,3.1983333333,6
13458,Montecristo,Bolívar,5.83,4.0377777778,9
13468,Mompós,Bolívar,3.95,3.6714285714,7
13473,Morales,Bolívar,3.49,4.1325,8
13490,Norosi,Bolívar,1.63,3.505,2
13549,Pinillos,Bolívar,4.43,4.24,9
13580,Regidor,Bolívar,6.29,4.582,5
13600,Río Viejo,Bolívar,3.85,4.397,10
