divipola,municipio,departamento,desercion,vecinos,z,wz,Ii,p_rangos,cuadrante,lisa,lisa_bonferroni,lisa_fdr,gistar_z,gistar_p,gistar
13001,Cartagena,Bolívar,3.33,5,-0.0529672456,-0.4027722265,0.0213527834,0.18084,Low-Low,1,1,1,-0.846046364,0.18252,4
20570,Pueblo Bello,Cesar,4.34,4,0.5187205063,0.2880643094,0.1495582795,0.26248,High-High,1,1,1,0.7489561172,0.26596,4
20001,Valledupar,Cesar,4.03,13,0.3432519884,0.7747390883,0.2661681707,0.0056,High-High,2,1,1,2.8010342555,0.0052,7
47053,Aracataca,Magdalena,3.15,9,-0.1548521915,0.0369682313,-0.0057297229,0.4342,Low-High,1,1,1,0.0564974284,0.44076,4
99624,Santa Rosalía,Vichada,6.3,6,1.6281343616,0.8602237509,1.4018103473,0.02608,High-High,2,1,1,2.5742309279,0.0254,6
54001,Cúcuta,Norte de Santander,4.28,8,0.4847588577,0.9446561829,0.4583393186,0.00936,High-High,2,1,1,2.6914956118,0.00856,7
66170,Dosquebradas,Risaralda,5.83,3,1.3621014473,1.1451242477,1.5611680518,0.03384,High-High,2,1,1,2.4030282205,0.03244,6
15491,Nobsa,Boyacá,2.84,6,-0.3303207095,-0.3963572485,0.1310419048,0.164,Low-Low,1,1,1,-1.0269145102,0.1662,4
15806,Tibasosa,Boyacá,3.88,6,0.2583478668,-0.6020138985,-0.1556678717,0.05812,High-Low,1,1,1,-1.2715692062,0.05648,3
76130,Candelaria,Valle del Cauca,5.09,6,0.9432411142,0.7224903981,0.6820911148,0.04824,High-High,2,1,1,2.0012238767,0.04592,6
76147,Cartago,Valle del Cauca,5.18,7,0.9941835871,1.4825844389,1.4752771524,6e-04,High-High,2,1,2,4.0351303692,0.00072,7
85125,Hato Corozal,Casanare,4.49,6,0.6036246279,0.7432447389,0.4490414011,0.04016,High-High,2,1,1,1.9196723113,0.04088,6
13650,San Fernando,Bolívar,5.41,6,1.1243699069,0.0696720411,0.0784070902,0.40464,High-High,1,1,1,0.5848019523,0.40904,4
85440,Villanueva,Casanare,3.79,6,0.2074053939,0.4847588577,0.1006313711,0.11748,High-High,1,1,1,1.1814160356,0.116,4
86219,Colón,Putumayo,3.56,5,0.0772190741,-0.2997552257,-0.0231674878,0.25876,High-Low,1,1,1,-0.5819076173,0.26172,4
86569,Puerto Caicedo,Putumayo,4.79,5,0.773432871,2.0435985298,1.5819975159,0.00044,High-High,2,1,2,4.4992877463,0.00012,7
86749,Sibundoy,Putumayo,2.52,6,-0.5114495021,0.025333222,-0.0129682323,0.45992,Low-High,1,1,1,-0.1362855729,0.44616,4
86760,Santiago,Putumayo,5.35,6,1.0904082583,-0.1539088124,-0.1679732824,0.3688,High-Low,1,1,1,0.0633011528,0.3702,4
86865,Valle del Guamuez,Putumayo,7.33,4,2.2111426631,1.1413507312,2.5259425893,0.01964,High-High,2,1,1,3.0373446267,0.02148,6
88001,San Andrés,"Archipiélago de San Andrés, Providencia y Santa Catalina",2.01,0,-0.8001235155,0,0,,Low-Low,,,,-0.8004806338,4e-05,
91540,Puerto Nariño,Amazonas,3.62,2,0.1111807227,0.2724985537,0.0303236367,0.32288,High-High,1,1,1,0.379352395,0.32292,4
91001,Leticia,Amazonas,5.61,2,1.2375754023,-0.290698786,-0.3600828829,0.36568,High-Low,1,1,1,0.379352395,0.3664,4
91798,Tarapacá,Amazonas,2.2,4,-0.6925782948,-0.378433045,0.262328526,0.22608,Low-Low,1,1,1,-0.9888999017,0.22668,4
91263,El Encanto,Amazonas,3.09,3,-0.1888138402,1.8432248029,-0.3483370911,0.0048,Low-High,5,1,1,2.6752074443,0.00488,7
91536,Puerto Arica,Amazonas,0,6,-1.9378387446,0.5064565776,-0.9823074565,0.10908,Low-High,1,1,1,0.4174066339,0.1104,4
