sigma_m,max_km2
233.3949,29.5066011660573
330.0702,21.5826418590583
466.7897,16.841574289783
660.1404,13.8339689576572
933.5795,11.9497537434475
1320.2807,10.8573377430202
1867.1589,9.94631878530256
