"estacion","lon","lat"
291,-72.7,6.52
292,-72.68,6.85
293,-72.71,6.84
294,-73.15,6.27
295,-73.37,6.36
296,-73.95,6.31
297,-73.51,6.7
298,-73.34,5.94
299,-73.42,6.24
300,-73.81,6.22
301,-73.18,7.12
302,-72.97,6.47
303,-73.29,6.55
304,-73.2,6.53
305,-74.06,6.65
306,-73.79,7.25
307,-73.54,7.46
308,-72.99,7.37
309,-72.87,7.19
310,-73.67,6
311,-73.28,6.79
312,-75.35,9.53
313,-75.28,9.33
314,-75.39,9.32
315,-75.04,9.16
316,-74.77,4.78
317,-74.9,5
318,-75.54,3.46
319,-75.42,4.44
320,-75.52,4.34
321,-75.58,3.65
322,-75.5,3.72
323,-75.12,3.77
324,-74.91,3.53
325,-75,4.23
326,-74.96,4.19
327,-74.8,4.28
328,-74.98,4.01
329,-74.73,5.26
330,-75.14,4.42
331,-75.2,4.43
332,-74.89,4.86
333,-74.89,5.21
334,-74.91,5.3
335,-75.11,3.57
336,-74.92,3.79
337,-74.77,3.9
338,-74.9,3.99
339,-75.63,3.53
340,-75.42,4.21
341,-75.02,3.86
342,-75.49,3.91
343,-75.09,4.71
344,-75.13,4.7
345,-75.1,4.22
346,-75.12,5.03
347,-76.99,3.82
348,-76.03,4.24
349,-76.07,3.73
350,-76.3,3.36
351,-76.06,4.53
352,-76.43,3.63
353,-76.31,3.51
354,-75.83,4.19
355,-76.22,4.09
356,-75.89,4.03
357,-76.17,4.03
358,-70.24,1.26
359,-69.8,4.49
360,-70.93,4.55
361,-67.49,6.18
