divipola,municipio,departamento,tipo,desercion,clase_equal,clase_quantile,clase_fisher,clase_sd,clase_headtails
63001,Armenia,Quindio,Municipio,5.02,2,5,4,2,2
63111,Buenavista,Quindio,Municipio,3.04,2,3,2,1,1
63130,Calarca,Quindio,Municipio,4.54,2,4,3,2,2
73563,Prado,Tolima,Municipio,3.22,2,3,2,1,1
73585,Purificaci<U+00F3>n,Tolima,Municipio,2.73,1,2,2,1,1
73616,Rioblanco,Tolima,Municipio,5.59,2,5,4,2,2
73622,Roncesvalles,Tolima,Municipio,1.87,1,1,1,1,1
73624,Rovira,Tolima,Municipio,4.22,2,4,3,2,2
73671,Salda<U+00F1>a,Tolima,Municipio,1.51,1,1,1,1,1
73675,San Antonio,Tolima,Municipio,1.56,1,1,1,1,1
73678,San Luis,Tolima,Municipio,3.95,2,4,3,2,2
73686,Santa Isabel,Tolima,Municipio,3.19,2,3,2,1,1
73770,Su<U+00E1>rez,Tolima,Municipio,3.8,2,4,3,2,2
73854,Valle de San Juan,Tolima,Municipio,1.03,1,1,1,1,1
73861,Venadillo,Tolima,Municipio,1.99,1,2,2,1,1
73870,Villahermosa,Tolima,Municipio,3.75,2,4,3,2,2
73873,Villarrica,Tolima,Municipio,4.4,2,4,3,2,2
76020,Alcal<U+00E1>,Valle del Cauca,Municipio,7.36,3,5,5,3,2
76036,Andaluc<U+00ED>a,Valle del Cauca,Municipio,6.42,3,5,4,2,2
76041,Ansermanuevo,Valle del Cauca,Municipio,7.18,3,5,5,3,2
76054,Argelia,Valle del Cauca,Municipio,6.35,3,5,4,2,2
76100,Bol<U+00ED>var,Valle del Cauca,Municipio,8.07,3,5,5,3,2
76111,Guadalajara de Buga,Valle del Cauca,Municipio,4.91,2,5,4,2,2
76113,Bugalagrande,Valle del Cauca,Municipio,5.56,2,5,4,2,2
76122,Caicedonia,Valle del Cauca,Municipio,7.48,3,5,5,3,2
76126,Calima El Darien,Valle del Cauca,Municipio,4.76,2,4,4,2,2
76001,Cali,Valle del Cauca,Municipio,4.41,2,4,3,2,2
76243,El <U+00C1>guila,Valle del Cauca,Municipio,6.29,3,5,4,2,2
76246,El Cairo,Valle del Cauca,Municipio,7.09,3,5,5,3,2
76248,El Cerrito,Valle del Cauca,Municipio,4.22,2,4,3,2,2
76250,El Dovio,Valle del Cauca,Municipio,6.59,3,5,4,2,2
76275,Florida,Valle del Cauca,Municipio,6.23,3,5,4,2,2
76306,Ginebra,Valle del Cauca,Municipio,5.05,2,5,4,2,2
76318,Guacar<U+00ED>,Valle del Cauca,Municipio,4.99,2,5,4,2,2
76364,Jamund<U+00ED>,Valle del Cauca,Municipio,5.89,2,5,4,2,2
76377,La Cumbre,Valle del Cauca,Municipio,6.42,3,5,4,2,2
76400,La Uni<U+00F3>n,Valle del Cauca,Municipio,6.49,3,5,4,2,2
76403,La Victoria,Valle del Cauca,Municipio,7.13,3,5,5,3,2
76497,Obando,Valle del Cauca,Municipio,3.84,2,4,3,2,2
76520,Palmira,Valle del Cauca,Municipio,5.14,2,5,4,2,2
76563,Pradera,Valle del Cauca,Municipio,7.5,3,5,5,3,2
76606,Restrepo,Valle del Cauca,Municipio,4.18,2,4,3,2,2
76616,Riofr<U+00ED>o,Valle del Cauca,Municipio,5.63,2,5,4,2,2
76622,Roldanillo,Valle del Cauca,Municipio,3.63,2,4,3,2,2
76670,San Pedro,Valle del Cauca,Municipio,5.61,2,5,4,2,2
76736,Sevilla,Valle del Cauca,Municipio,7.38,3,5,5,3,2
76823,Toro,Valle del Cauca,Municipio,6.11,3,5,4,2,2
76828,Trujillo,Valle del Cauca,Municipio,4.58,2,4,3,2,2
76834,Tulu<U+00E1>,Valle del Cauca,Municipio,5.68,2,5,4,2,2
76845,Ulloa,Valle del Cauca,Municipio,7.58,3,5,5,3,2
76863,Versalles,Valle del Cauca,Municipio,4.66,2,4,3,2,2
76869,Vijes,Valle del Cauca,Municipio,7.09,3,5,5,3,2
76890,Yotoco,Valle del Cauca,Municipio,4.09,2,4,3,2,2
76892,Yumbo,Valle del Cauca,Municipio,5.49,2,5,4,2,2
76895,Zarzal,Valle del Cauca,Municipio,4.1,2,4,3,2,2
81220,Cravo Norte,Arauca,Municipio,3.62,2,4,3,2,2
81300,Fortul,Arauca,Municipio,4.74,2,4,4,2,2
81794,Tame,Arauca,Municipio,4.25,2,4,3,2,2
85015,Chameza,Casanare,Municipio,3.19,2,3,2,1,1
85136,La Salina,Casanare,Municipio,3.14,2,3,2,1,1
85139,Man<U+00ED>,Casanare,Municipio,6.9,3,5,5,2,2
85225,Nunch<U+00ED>a,Casanare,Municipio,2.59,1,2,2,1,1
85230,Orocu<U+00E9>,Casanare,Municipio,5.48,2,5,4,2,2
85250,Paz de Ariporo,Casanare,Municipio,3.24,2,3,2,1,1
85279,Recetor,Casanare,Municipio,5,2,5,4,2,2
85300,Sabanalarga,Casanare,Municipio,4.24,2,4,3,2,2
85315,S<U+00E1>cama,Casanare,Municipio,6.25,3,5,4,2,2
85325,San Luis de Palenque,Casanare,Municipio,4.84,2,5,4,2,2
85400,T<U+00E1>mara,Casanare,Municipio,5.46,2,5,4,2,2
85410,Tauramena,Casanare,Municipio,3.19,2,3,2,1,1
68432,M<U+00E1>laga,Santander,Municipio,1.28,1,1,1,1,1
68444,Matanza,Santander,Municipio,2.6,1,2,2,1,1
68464,Mogotes,Santander,Municipio,3.57,2,3,3,2,2
68468,Molagavita,Santander,Municipio,0.63,1,1,1,1,1
68498,Ocamonte,Santander,Municipio,2.09,1,2,2,1,1
68500,Oiba,Santander,Municipio,1.54,1,1,1,1,1
68502,Onzaga,Santander,Municipio,3.56,2,3,3,2,2
68522,Palmar,Santander,Municipio,1.3,1,1,1,1,1
68524,Palmas del Socorro,Santander,Municipio,3.15,2,3,2,1,1
68533,P<U+00E1>ramo,Santander,Municipio,3.22,2,3,2,1,1
68547,Piedecuesta,Santander,Municipio,6.08,3,5,4,2,2
68549,Pinchote,Santander,Municipio,1.47,1,1,1,1,1
68572,Puente Nacional,Santander,Municipio,1.74,1,1,1,1,1
68573,Puerto Parra,Santander,Municipio,6.24,3,5,4,2,2
68575,Puerto Wilches,Santander,Municipio,4.79,2,5,4,2,2
68615,Rionegro,Santander,Municipio,4.75,2,4,4,2,2
68655,Sabana de Torres,Santander,Municipio,5.3,2,5,4,2,2
68669,San Andr<U+00E9>s,Santander,Municipio,1.15,1,1,1,1,1
68673,San Benito,Santander,Municipio,2.27,1,2,2,1,1
68679,San Gil,Santander,Municipio,3.45,2,3,3,2,2
68682,San Joaqu<U+00ED>n,Santander,Municipio,0.56,1,1,1,1,1
68684,San Jos<U+00E9> de Miranda,Santander,Municipio,2.49,1,2,2,1,1
68686,San Miguel,Santander,Municipio,2.48,1,2,2,1,1
68689,San Vicente de Chucur<U+00ED>,Santander,Municipio,5.38,2,5,4,2,2
68705,Santa B<U+00E1>rbara,Santander,Municipio,1.3,1,1,1,1,1
68720,Santa Helena del Op<U+00F3>n,Santander,Municipio,2.64,1,2,2,1,1
68745,Simacota,Santander,Municipio,3.36,2,3,3,1,1
68755,Socorro,Santander,Municipio,2.62,1,2,2,1,1
68770,Suaita,Santander,Municipio,2.63,1,2,2,1,1
68773,Sucre,Santander,Municipio,2.31,1,2,2,1,1
68780,Surat<U+00E1>,Santander,Municipio,0.91,1,1,1,1,1
68820,Tona,Santander,Municipio,4.8,2,5,4,2,2
68855,Valle de San Jos<U+00E9>,Santander,Municipio,2.62,1,2,2,1,1
68861,V<U+00E9>lez,Santander,Municipio,3.81,2,4,3,2,2
68867,Vetas,Santander,Municipio,4.06,2,4,3,2,2
68872,Villanueva,Santander,Municipio,3.27,2,3,3,1,1
68895,Zapatoca,Santander,Municipio,2.31,1,2,2,1,1
70110,Buenavista,Sucre,Municipio,5.05,2,5,4,2,2
70124,Caimito,Sucre,Municipio,3.98,2,4,3,2,2
70204,Colos<U+00F3>,Sucre,Municipio,2.26,1,2,2,1,1
70215,Corozal,Sucre,Municipio,2.23,1,2,2,1,1
70221,Cove<U+00F1>as,Sucre,Municipio,3.23,2,3,2,1,1
70230,Chal<U+00E1>n,Sucre,Municipio,2.66,1,2,2,1,1
70233,El Roble,Sucre,Municipio,3.42,2,3,3,1,1
70235,Galeras,Sucre,Municipio,3.34,2,3,3,1,1
70265,Guaranda,Sucre,Municipio,5.01,2,5,4,2,2
70400,La Uni<U+00F3>n,Sucre,Municipio,1.46,1,1,1,1,1
70418,Los Palmitos,Sucre,Municipio,3,2,3,2,1,1
70429,Majagual,Sucre,Municipio,3.6,2,3,3,2,2
70473,Morroa,Sucre,Municipio,1.65,1,1,1,1,1
70508,Ovejas,Sucre,Municipio,3.57,2,3,3,2,2
70523,Palmito,Sucre,Municipio,3.08,2,3,2,1,1
70670,Sampu<U+00E9>s,Sucre,Municipio,3.04,2,3,2,1,1
70678,San Benito Abad,Sucre,Municipio,3.18,2,3,2,1,1
70702,San Juan de Betulia,Sucre,Municipio,1.99,1,2,2,1,1
70708,San Marcos,Sucre,Municipio,5.03,2,5,4,2,2
70713,San Onofre,Sucre,Municipio,3.13,2,3,2,1,1
70717,San Pedro,Sucre,Municipio,2.78,1,2,2,1,1
70742,Sinc<U+00E9>,Sucre,Municipio,2.83,1,3,2,1,1
70771,Sucre,Sucre,Municipio,2.48,1,2,2,1,1
70820,Santiago de Tol<U+00FA>,Sucre,Municipio,2.67,1,2,2,1,1
70823,Toluviejo,Sucre,Municipio,3.2,2,3,2,1,1
73024,Alpujarra,Tolima,Municipio,2.73,1,2,2,1,1
73026,Alvarado,Tolima,Municipio,3.6,2,3,3,2,2
73030,Ambalema,Tolima,Municipio,3.18,2,3,2,1,1
73043,Anzo<U+00E1>tegui,Tolima,Municipio,3.28,2,3,3,1,1
73055,Armero,Tolima,Municipio,2.69,1,2,2,1,1
73067,Ataco,Tolima,Municipio,3.66,2,4,3,2,2
73124,Cajamarca,Tolima,Municipio,3.71,2,4,3,2,2
73148,Carmen de Apical<U+00E1>,Tolima,Municipio,2.26,1,2,2,1,1
73152,Casabianca,Tolima,Municipio,3.36,2,3,3,1,1
73168,Chaparral,Tolima,Municipio,2.86,1,3,2,1,1
73200,Coello,Tolima,Municipio,1.81,1,1,1,1,1
73217,Coyaima,Tolima,Municipio,3.82,2,4,3,2,2
73226,Cunday,Tolima,Municipio,3.37,2,3,3,1,1
73236,Dolores,Tolima,Municipio,2.5,1,2,2,1,1
73268,Espinal,Tolima,Municipio,3.81,2,4,3,2,2
73270,Falan,Tolima,Municipio,3.26,2,3,3,1,1
73275,Flandes,Tolima,Municipio,5.13,2,5,4,2,2
73283,Fresno,Tolima,Municipio,3.41,2,3,3,1,1
73319,Guamo,Tolima,Municipio,4.75,2,4,4,2,2
73347,Herveo,Tolima,Municipio,2.57,1,2,2,1,1
73349,Honda,Tolima,Municipio,3.41,2,3,3,1,1
73352,Icononzo,Tolima,Municipio,2.46,1,2,2,1,1
73408,L<U+00E9>rida,Tolima,Municipio,2.27,1,2,2,1,1
73411,L<U+00ED>bano,Tolima,Municipio,3.23,2,3,2,1,1
73443,Mariquita,Tolima,Municipio,2.68,1,2,2,1,1
73449,Melgar,Tolima,Municipio,2.72,1,2,2,1,1
73461,Murillo,Tolima,Municipio,2.96,1,3,2,1,1
73483,Natagaima,Tolima,Municipio,2.53,1,2,2,1,1
73504,Ortega,Tolima,Municipio,3.25,2,3,3,1,1
73520,Palocabildo,Tolima,Municipio,2.94,1,3,2,1,1
73547,Piedras,Tolima,Municipio,2.1,1,2,2,1,1
73555,Planadas,Tolima,Municipio,5.21,2,5,4,2,2
05266,Envigado,Antioquia,Municipio,3.93,2,4,3,2,2
05360,Itag<U+00FC><U+00ED>,Antioquia,Municipio,4.58,2,4,3,2,2
27425,Medio Atrato,Choc<U+00F3>,Municipio,0.47,1,1,1,1,1
99524,La Primavera,Vichada,Municipio,5.16,2,5,4,2,2
05364,Jard<U+00ED>n,Antioquia,Municipio,3.67,2,4,3,2,2
27491,N<U+00F3>vita,Choc<U+00F3>,Municipio,4.06,2,4,3,2,2
27450,Medio San Juan,Choc<U+00F3>,Municipio,1.68,1,1,1,1,1
27660,San Jos<U+00E9> del Palmar,Choc<U+00F3>,Municipio,5.86,2,5,4,2,2
27205,Condoto,Choc<U+00F3>,Municipio,3.72,2,4,3,2,2
85010,Aguazul,Casanare,Municipio,3.62,2,4,3,2,2
54874,Villa del Rosario,Norte de Santander,Municipio,5.68,2,5,4,2,2
27430,Medio Baud<U+00F3>,Choc<U+00F3>,Municipio,0.68,1,1,1,1,1
27810,Uni<U+00F3>n Panamericana,Choc<U+00F3>,Municipio,5.93,3,5,4,2,2
27787,Tad<U+00F3>,Choc<U+00F3>,Municipio,1.81,1,1,1,1,1
27160,C<U+00E9>rtegui,Choc<U+00F3>,Municipio,3.13,2,3,2,1,1
27135,El Cant<U+00F3>n del San Pablo,Choc<U+00F3>,Municipio,2.51,1,2,2,1,1
99773,Cumaribo,Vichada,Municipio,5.5,2,5,4,2,2
17614,Riosucio,Caldas,Municipio,2.04,1,2,2,1,1
27077,Bajo Baud<U+00F3>,Choc<U+00F3>,Municipio,0.51,1,1,1,1,1
66456,Mistrat<U+00F3>,Risaralda,Municipio,7.86,3,5,5,3,2
27495,Nuqu<U+00ED>,Choc<U+00F3>,Municipio,3.54,2,3,3,2,2
27245,El Carmen de Atrato,Choc<U+00F3>,Municipio,1.74,1,1,1,1,1
27025,Alto Baudo,Choc<U+00F3>,Municipio,1.57,1,1,1,1,1
05376,La Ceja,Antioquia,Municipio,2.71,1,2,2,1,1
05129,Caldas,Antioquia,Municipio,4.97,2,5,4,2,2
99001,Puerto Carre<U+00F1>o,Vichada,Municipio,8.45,3,5,5,3,2
27001,Quibd<U+00F3>,Choc<U+00F3>,Municipio,1.38,1,1,1,1,1
05656,San Jer<U+00F3>nimo,Antioquia,Municipio,7.41,3,5,5,3,2
05079,Barbosa,Antioquia,Municipio,4.42,2,4,3,2,2
05690,Santo Domingo,Antioquia,Municipio,2.52,1,2,2,1,1
05847,Urrao,Antioquia,Municipio,3.76,2,4,3,2,2
81591,Puerto Rond<U+00F3>n,Arauca,Municipio,5.6,2,5,4,2,2
05042,Santaf<U+00E9> de Antioquia,Antioquia,Municipio,3.67,2,4,3,2,2
05086,Belmira,Antioquia,Municipio,3.88,2,4,3,2,2
05411,Liborina,Antioquia,Municipio,1.06,1,1,1,1,1
27075,Bah<U+00ED>a Solano,Choc<U+00F3>,Municipio,6.92,3,5,5,2,2
05873,Vig<U+00ED>a del Fuerte,Antioquia,Municipio,1.65,1,1,1,1,1
05310,G<U+00F3>mez Plata,Antioquia,Municipio,4.96,2,5,4,2,2
27099,Bojaya,Choc<U+00F3>,Municipio,0.48,1,1,1,1,1
05686,Santa Rosa de Osos,Antioquia,Municipio,2.92,1,3,2,1,1
05315,Guadalupe,Antioquia,Municipio,2.03,1,2,2,1,1
05138,Ca<U+00F1>asgordas,Antioquia,Municipio,2.98,2,3,2,1,1
05475,Murind<U+00F3>,Antioquia,Municipio,1.19,1,1,1,1,1
81065,Arauquita,Arauca,Municipio,5.35,2,5,4,2,2
81736,Saravena,Arauca,Municipio,4.43,2,4,3,2,2
05819,Toledo,Antioquia,Municipio,3.25,2,3,3,1,1
81001,Arauca,Arauca,Municipio,6.76,3,5,4,2,2
05234,Dabeiba,Antioquia,Municipio,5.84,2,5,4,2,2
68307,Gir<U+00F3>n,Santander,Municipio,4.43,2,4,3,2,2
68001,Bucaramanga,Santander,Municipio,4.48,2,4,3,2,2
05031,Amalfi,Antioquia,Municipio,6.03,3,5,4,2,2
05893,Yond<U+00F3>,Antioquia,Municipio,3.07,2,3,2,1,1
27150,Carmen del Darien,Choc<U+00F3>,Municipio,2.78,1,2,2,1,1
54377,Labateca,Norte de Santander,Municipio,0.76,1,1,1,1,1
54518,Pamplona,Norte de Santander,Municipio,4.94,2,5,4,2,2
54820,Toledo,Norte de Santander,Municipio,1.92,1,2,1,1,1
27372,Jurad<U+00F3>,Choc<U+00F3>,Municipio,0.89,1,1,1,1,1
05480,Mutat<U+00E1>,Antioquia,Municipio,7.37,3,5,5,3,2
54099,Bochalema,Norte de Santander,Municipio,3.61,2,3,3,2,2
54239,Durania,Norte de Santander,Municipio,4.95,2,5,4,2,2
54128,Cachir<U+00E1>,Norte de Santander,Municipio,3.47,2,3,3,2,2
54405,Los Patios,Norte de Santander,Municipio,3.63,2,4,3,2,2
05147,Carepa,Antioquia,Municipio,3.07,2,3,2,1,1
27615,Riosucio,Choc<U+00F3>,Municipio,1.49,1,1,1,1,1
54313,Gramalote,Norte de Santander,Municipio,2.08,1,2,2,1,1
23580,Puerto Libertador,C<U+00F3>rdoba,Municipio,5.34,2,5,4,2,2
05045,Apartad<U+00F3>,Antioquia,Municipio,4.8,2,5,4,2,2
05154,Caucasia,Antioquia,Municipio,3.96,2,4,3,2,2
54109,Bucarasica,Norte de Santander,Municipio,2.88,1,3,2,1,1
54261,El Zulia,Norte de Santander,Municipio,5.79,2,5,4,2,2
23807,Tierralta,C<U+00F3>rdoba,Municipio,5.78,2,5,4,2,2
27800,Ungu<U+00ED>a,Choc<U+00F3>,Municipio,7.45,3,5,5,3,2
54498,Oca<U+00F1>a,Norte de Santander,Municipio,4.22,2,4,3,2,2
05837,Turbo,Antioquia,Municipio,4.47,2,4,3,2,2
27006,Acand<U+00ED>,Choc<U+00F3>,Municipio,5.56,2,5,4,2,2
05490,Necocl<U+00ED>,Antioquia,Municipio,5.23,2,5,4,2,2
05051,Arboletes,Antioquia,Municipio,4.11,2,4,3,2,2
13001,Cartagena,Bol<U+00ED>var,Municipio,3.33,2,3,3,1,1
20570,Pueblo Bello,Cesar,Municipio,4.34,2,4,3,2,2
20001,Valledupar,Cesar,Municipio,4.03,2,4,3,2,2
47053,Aracataca,Magdalena,Municipio,3.15,2,3,2,1,1
99624,Santa Rosal<U+00ED>a,Vichada,Municipio,6.3,3,5,4,2,2
54001,C<U+00FA>cuta,Norte de Santander,Municipio,4.28,2,4,3,2,2
66170,Dosquebradas,Risaralda,Municipio,5.83,2,5,4,2,2
15491,Nobsa,Boyac<U+00E1>,Municipio,2.84,1,3,2,1,1
15806,Tibasosa,Boyac<U+00E1>,Municipio,3.88,2,4,3,2,2
76130,Candelaria,Valle del Cauca,Municipio,5.09,2,5,4,2,2
76147,Cartago,Valle del Cauca,Municipio,5.18,2,5,4,2,2
85125,Hato Corozal,Casanare,Municipio,4.49,2,4,3,2,2
13650,San Fernando,Bol<U+00ED>var,Municipio,5.41,2,5,4,2,2
85440,Villanueva,Casanare,Municipio,3.79,2,4,3,2,2
86219,Col<U+00F3>n,Putumayo,Municipio,3.56,2,3,3,2,2
86569,Puerto Caicedo,Putumayo,Municipio,4.79,2,5,4,2,2
86749,Sibundoy,Putumayo,Municipio,2.52,1,2,2,1,1
86760,Santiago,Putumayo,Municipio,5.35,2,5,4,2,2
86865,Valle del Guamuez,Putumayo,Municipio,7.33,3,5,5,3,2
88001,San Andr<U+00E9>s,"Archipi<U+00E9>lago de San Andr<U+00E9>s, Providencia y Santa Catalina",Isla,2.01,1,2,2,1,1
91540,Puerto Nari<U+00F1>o,Amazonas,Municipio,3.62,2,4,3,2,2
91001,Leticia,Amazonas,Municipio,5.61,2,5,4,2,2
91798,Tarapac<U+00E1>,Amazonas,<U+00C1>rea no municipalizada,2.2,1,2,2,1,1
91263,El Encanto,Amazonas,<U+00C1>rea no municipalizada,3.09,2,3,2,1,1
91536,Puerto Arica,Amazonas,<U+00C1>rea no municipalizada,0,1,1,1,1,1
91530,Puerto Alegr<U+00ED>a,Amazonas,<U+00C1>rea no municipalizada,5.23,2,5,4,2,2
91407,La Pedrera,Amazonas,<U+00C1>rea no municipalizada,1.79,1,1,1,1,1
91405,La Chorrera,Amazonas,<U+00C1>rea no municipalizada,14.81,5,5,5,5,2
91669,Puerto Santander,Amazonas,<U+00C1>rea no municipalizada,0.75,1,1,1,1,1
97666,Taraira,Vaup<U+00E9>s,Municipio,0,1,1,1,1,1
91460,Miriti - Paran<U+00E1>,Amazonas,<U+00C1>rea no municipalizada,3.27,2,3,3,1,1
91430,La Victoria,Amazonas,<U+00C1>rea no municipalizada,0,1,1,1,1,1
86757,San Miguel,Putumayo,Municipio,6.56,3,5,4,2,2
86568,Puerto As<U+00ED>s,Putumayo,Municipio,6.08,3,5,4,2,2
86573,Legu<U+00ED>zamo,Putumayo,Municipio,8.81,3,5,5,3,2
52560,Potos<U+00ED>,Nari<U+00F1>o,Municipio,1.32,1,1,1,1,1
97511,Pacoa,Vaup<U+00E9>s,<U+00C1>rea no municipalizada,7.83,3,5,5,3,2
52356,Ipiales,Nari<U+00F1>o,Municipio,2.48,1,2,2,1,1
86320,Orito,Putumayo,Municipio,6.64,3,5,4,2,2
52022,Aldana,Nari<U+00F1>o,Municipio,1.32,1,1,1,1,1
18785,Solita,Caquet<U+00E1>,Municipio,5.41,2,5,4,2,2
52317,Guachucal,Nari<U+00F1>o,Municipio,0.71,1,1,1,1,1
52506,Ospina,Nari<U+00F1>o,Municipio,0.73,1,1,1,1,1
86571,Puerto Guzm<U+00E1>n,Putumayo,Municipio,11.5,4,5,5,4,2
86885,Villagarz<U+00F3>n,Putumayo,Municipio,5.65,2,5,4,2,2
97889,Yavarat<U+00E9>,Vaup<U+00E9>s,<U+00C1>rea no municipalizada,8.39,3,5,5,3,2
18205,Curillo,Caquet<U+00E1>,Municipio,7.83,3,5,5,3,2
18756,Solano,Caquet<U+00E1>,Municipio,6.66,3,5,4,2,2
86755,San Francisco,Putumayo,Municipio,2.92,1,3,2,1,1
52001,Pasto,Nari<U+00F1>o,Municipio,2.1,1,2,2,1,1
52683,Sandon<U+00E1>,Nari<U+00F1>o,Municipio,2.15,1,2,2,1,1
52435,Mallama,Nari<U+00F1>o,Municipio,2.88,1,3,2,1,1
52381,La Florida,Nari<U+00F1>o,Municipio,1.71,1,1,1,1,1
86001,Mocoa,Putumayo,Municipio,5.3,2,5,4,2,2
52019,Alb<U+00E1>n,Nari<U+00F1>o,Municipio,1.72,1,1,1,1,1
52260,El Tambo,Nari<U+00F1>o,Municipio,1.69,1,1,1,1,1
18150,Cartagena del Chair<U+00E1>,Caquet<U+00E1>,Municipio,8.76,3,5,5,3,2
52678,Samaniego,Nari<U+00F1>o,Municipio,2.43,1,2,2,1,1
94885,La Guadalupe,Guain<U+00ED>a,<U+00C1>rea no municipalizada,1.09,1,1,1,1,1
52693,San Pablo,Nari<U+00F1>o,Municipio,1.4,1,1,1,1,1
97161,Caruru,Vaup<U+00E9>s,Municipio,3.54,2,3,3,2,2
97001,Mit<U+00FA>,Vaup<U+00E9>s,Municipio,5.06,2,5,4,2,2
52079,Barbacoas,Nari<U+00F1>o,Municipio,4.81,2,5,4,2,2
52540,Policarpa,Nari<U+00F1>o,Municipio,3.66,2,4,3,2,2
95200,Miraflores,Guaviare,Municipio,5.74,2,5,4,2,2
52835,San Andres de Tumaco,Nari<U+00F1>o,Municipio,3.83,2,4,3,2,2
05615,Rionegro,Antioquia,Municipio,4.1,2,4,3,2,2
20443,Manaure,Cesar,Municipio,3.84,2,4,3,2,2
94001,In<U+00ED>rida,Guain<U+00ED>a,Municipio,5.19,2,5,4,2,2
27580,R<U+00ED>o Iro,Choc<U+00F3>,Municipio,2.43,1,2,2,1,1
95025,El Retorno,Guaviare,Municipio,5.32,2,5,4,2,2
94887,Pana Pana,Guain<U+00ED>a,<U+00C1>rea no municipalizada,0.32,1,1,1,1,1
94883,San Felipe,Guain<U+00ED>a,<U+00C1>rea no municipalizada,5.46,2,5,4,2,2
27413,Llor<U+00F3>,Choc<U+00F3>,Municipio,0.37,1,1,1,1,1
97777,Papunaua,Vaup<U+00E9>s,<U+00C1>rea no municipalizada,0,1,1,1,1,1
54344,Hacar<U+00ED>,Norte de Santander,Municipio,2.94,1,3,2,1,1
54720,Sardinata,Norte de Santander,Municipio,5.27,2,5,4,2,2
66075,Balboa,Risaralda,Municipio,6.48,3,5,4,2,2
85001,Yopal,Casanare,Municipio,3.28,2,3,3,1,1
85430,Trinidad,Casanare,Municipio,4.73,2,4,4,2,2
15001,Tunja,Boyac<U+00E1>,Municipio,2.82,1,2,2,1,1
52427,Mag<U+00FC>i,Nari<U+00F1>o,Municipio,3.61,2,3,3,2,2
52405,Leiva,Nari<U+00F1>o,Municipio,3.73,2,4,3,2,2
95015,Calamar,Guaviare,Municipio,2.67,1,2,2,1,1
52621,Roberto Pay<U+00E1>n,Nari<U+00F1>o,Municipio,1.07,1,1,1,1,1
52520,Francisco Pizarro,Nari<U+00F1>o,Municipio,1.72,1,1,1,1,1
50350,La Macarena,Meta,Municipio,8.03,3,5,5,3,2
52473,Mosquera,Nari<U+00F1>o,Municipio,1.23,1,1,1,1,1
52490,Olaya Herrera,Nari<U+00F1>o,Municipio,1.44,1,1,1,1,1
52696,Santa B<U+00E1>rbara,Nari<U+00F1>o,Municipio,1.71,1,1,1,1,1
52390,La Tola,Nari<U+00F1>o,Municipio,3.6,2,3,3,2,2
41349,Hobo,Huila,Municipio,3.91,2,4,3,2,2
52250,El Charco,Nari<U+00F1>o,Municipio,2.09,1,2,2,1,1
19318,Guapi,Cauca,Municipio,1.93,1,2,1,1,1
94888,Morichal,Guain<U+00ED>a,<U+00C1>rea no municipalizada,10,4,5,5,3,2
95001,San Jos<U+00E9> del Guaviare,Guaviare,Municipio,5.02,2,5,4,2,2
19809,Timbiqu<U+00ED>,Cauca,Municipio,2.03,1,2,2,1,1
18753,San Vicente del Cagu<U+00E1>n,Caquet<U+00E1>,Municipio,7.8,3,5,5,3,2
50450,Puerto Concordia,Meta,Municipio,8.87,3,5,5,3,2
50590,Puerto Rico,Meta,Municipio,6.53,3,5,4,2,2
94884,Puerto Colombia,Guain<U+00ED>a,<U+00C1>rea no municipalizada,2.83,1,3,2,1,1
50711,Vistahermosa,Meta,Municipio,6.8,3,5,5,2,2
19418,L<U+00F3>pez,Cauca,Municipio,3.45,2,3,3,2,2
50325,Mapirip<U+00E1>n,Meta,Municipio,12.29,5,5,5,4,2
50577,Puerto Lleras,Meta,Municipio,5.77,2,5,4,2,2
94343,Barranco Minas,Guain<U+00ED>a,Municipio,4.4,2,4,3,2,2
94886,Cacahual,Guain<U+00ED>a,<U+00C1>rea no municipalizada,2.03,1,2,2,1,1
76233,Dagua,Valle del Cauca,Municipio,4.11,2,4,3,2,2
76109,Buenaventura,Valle del Cauca,Municipio,3.31,2,3,3,1,1
50001,Villavicencio,Meta,Municipio,4.11,2,4,3,2,2
27250,El Litoral del San Juan,Choc<U+00F3>,Municipio,1.49,1,1,1,1,1
73001,Ibagu<U+00E9>,Tolima,Municipio,4.18,2,4,3,2,2
27745,Sip<U+00ED>,Choc<U+00F3>,Municipio,1.48,1,1,1,1,1
11001,"Bogot<U+00E1>, D.C.","Bogot<U+00E1>, D.C.",Municipio,2.49,1,2,2,1,1
47001,Santa Marta,Magdalena,Municipio,4.66,2,4,3,2,2
44001,Riohacha,La Guajira,Municipio,3.65,2,4,3,2,2
44847,Uribia,La Guajira,Municipio,1.62,1,1,1,1,1
88564,Providencia,"Archipi<U+00E9>lago de San Andr<U+00E9>s, Providencia y Santa Catalina",Municipio,1.41,1,1,1,1,1
85162,Monterrey,Casanare,Municipio,3.07,2,3,2,1,1
50568,Puerto Gait<U+00E1>n,Meta,Municipio,3.95,2,4,3,2,2
20045,Becerril,Cesar,Municipio,5.42,2,5,4,2,2
27361,Istmina,Choc<U+00F3>,Municipio,3.36,2,3,3,1,1
70001,Sincelejo,Sucre,Municipio,3.02,2,3,2,1,1
05001,Medell<U+00ED>n,Antioquia,Municipio,3.18,2,3,2,1,1
