divipola,municipio,departamento,tipo,desercion,clase_equal,clase_quantile,clase_fisher,clase_sd,clase_headtails
20550,Pelaya,Cesar,Municipio,5.41,2,5,4,2,2
20614,R<U+00ED>o de Oro,Cesar,Municipio,7.73,3,5,5,3,2
20621,La Paz,Cesar,Municipio,6.3,3,5,4,2,2
20710,San Alberto,Cesar,Municipio,5.95,3,5,4,2,2
20750,San Diego,Cesar,Municipio,6.53,3,5,4,2,2
20770,San Mart<U+00ED>n,Cesar,Municipio,3.38,2,3,3,1,1
20787,Tamalameque,Cesar,Municipio,4.25,2,4,3,2,2
23001,Monter<U+00ED>a,C<U+00F3>rdoba,Municipio,2.98,2,3,2,1,1
23068,Ayapel,C<U+00F3>rdoba,Municipio,3.3,2,3,3,1,1
23079,Buenavista,C<U+00F3>rdoba,Municipio,3.81,2,4,3,2,2
23090,Canalete,C<U+00F3>rdoba,Municipio,3.41,2,3,3,1,1
23162,Ceret<U+00E9>,C<U+00F3>rdoba,Municipio,3.17,2,3,2,1,1
23168,Chim<U+00E1>,C<U+00F3>rdoba,Municipio,2.87,1,3,2,1,1
23182,Chin<U+00FA>,C<U+00F3>rdoba,Municipio,3.15,2,3,2,1,1
23189,Ci<U+00E9>naga de Oro,C<U+00F3>rdoba,Municipio,4.28,2,4,3,2,2
23300,Cotorra,C<U+00F3>rdoba,Municipio,2.53,1,2,2,1,1
23350,La Apartada,C<U+00F3>rdoba,Municipio,4.61,2,4,3,2,2
23417,Lorica,C<U+00F3>rdoba,Municipio,4.03,2,4,3,2,2
23419,Los C<U+00F3>rdobas,C<U+00F3>rdoba,Municipio,4.87,2,5,4,2,2
23464,Momil,C<U+00F3>rdoba,Municipio,1.33,1,1,1,1,1
23466,Montel<U+00ED>bano,C<U+00F3>rdoba,Municipio,3.43,2,3,3,2,2
23500,Mo<U+00F1>itos,C<U+00F3>rdoba,Municipio,2.95,1,3,2,1,1
23555,Planeta Rica,C<U+00F3>rdoba,Municipio,1.67,1,1,1,1,1
23570,Pueblo Nuevo,C<U+00F3>rdoba,Municipio,3.52,2,3,3,2,2
23574,Puerto Escondido,C<U+00F3>rdoba,Municipio,3.53,2,3,3,2,2
